iter	MultiClass
0	1.684976858
1	1.603316655
2	1.535194406
3	1.486898345
4	1.436813034
5	1.396869376
6	1.364352667
7	1.331832757
8	1.305038798
9	1.281658648
10	1.26041792
11	1.24419797
12	1.22564724
13	1.214265493
14	1.201337991
15	1.189470642
16	1.179344693
17	1.170266784
18	1.159922699
19	1.154515623
20	1.149414501
21	1.142346347
22	1.135226723
23	1.127245123
24	1.120636281
25	1.117751855
26	1.109931846
27	1.100062895
28	1.096525542
29	1.087044299
30	1.079019756
31	1.073756716
32	1.06679177
33	1.064960155
34	1.058699347
35	1.054370771
36	1.050704434
37	1.044716162
38	1.040401352
39	1.036731926
40	1.030096526
41	1.028062278
42	1.025378715
43	1.022817921
44	1.020029142
45	1.018854394
46	1.016719575
47	1.007347802
48	1.003506567
49	1.000307305
50	0.9959986009
51	0.9940605981
52	0.9911971452
53	0.987987376
54	0.9839601541
55	0.9831393957
56	0.9768680538
57	0.9710559545
58	0.9638809322
59	0.957699749
60	0.9539093022
61	0.9502025903
62	0.944319614
63	0.9387491197
64	0.9330405188
65	0.9262356333
66	0.9190165427
67	0.9128491113
68	0.9101651346
69	0.9049626149
70	0.9022469321
71	0.8975314741
72	0.8924116774
73	0.8891144109
74	0.8855291299
75	0.8813259104
76	0.875714766
77	0.8742263921
78	0.8688472131
79	0.86410438
80	0.8581896816
81	0.8539936469
82	0.8463126691
83	0.8427707792
84	0.838552191
85	0.8345206239
86	0.8317799293
87	0.825306809
88	0.8220875732
89	0.81624246
90	0.8127195117
91	0.8053429391
92	0.8020719309
93	0.799064979
94	0.7931654627
95	0.787163733
96	0.7852007181
97	0.7783359408
98	0.7753477483
99	0.7736935304
100	0.7713240705
101	0.7694780535
102	0.7627900096
103	0.7560318575
104	0.7533503215
105	0.7488657328
106	0.745182687
107	0.7423410806
108	0.7397337334
109	0.7348702449
110	0.7282266861
111	0.7250902083
112	0.7205428298
113	0.7156090473
114	0.7111793068
115	0.7065047422
116	0.7033205119
117	0.7011627829
118	0.6952083199
119	0.6918243102
120	0.684510642
121	0.6811605177
122	0.6774069978
123	0.673638044
124	0.6684526842
125	0.6649146668
126	0.6628972488
127	0.6595317318
128	0.6552635622
129	0.6513249184
130	0.6477270509
131	0.6445972083
132	0.641800391
133	0.6369904658
134	0.6338135146
135	0.6295324066
136	0.6259944556
137	0.621336094
138	0.6189338799
139	0.6158334189
140	0.6129469318
141	0.6108285447
142	0.6066774368
143	0.6033765738
144	0.5985521167
145	0.5949211516
146	0.5908557869
147	0.5875290593
148	0.583597962
149	0.5818461166
150	0.5799193646
151	0.5754523642
152	0.5725031227
153	0.5686905136
154	0.5664254543
155	0.5636744198
156	0.5625023649
157	0.5594831723
158	0.5563821172
159	0.5533483506
160	0.5496394275
161	0.547589434
162	0.5446761339
163	0.5435660468
164	0.541428996
165	0.5396213454
166	0.5372117372
167	0.5331369433
168	0.5307238751
169	0.5277890583
170	0.5242784231
171	0.5204851128
172	0.5172231584
173	0.5139846526
174	0.5114341085
175	0.5080997708
176	0.5062359749
177	0.5043385127
178	0.5032324539
179	0.5004442188
180	0.4985638917
181	0.4961477645
182	0.494294983
183	0.4926047212
184	0.4904590378
185	0.4871928683
186	0.4840748332
187	0.4818394463
188	0.4795904904
189	0.4763237695
190	0.473141278
191	0.4686409614
192	0.4658037266
193	0.4644901292
194	0.4610688172
195	0.4594201428
196	0.4575561986
197	0.4557049435
198	0.4530708468
199	0.4506817262
200	0.4488694659
201	0.4470098453
202	0.4449574045
203	0.4428004763
204	0.4411487142
205	0.4393977209
206	0.4386195286
207	0.4362354381
208	0.4333908442
209	0.4305822125
210	0.4279346699
211	0.4243232847
212	0.4229875907
213	0.4207622954
214	0.419250666
215	0.4186055713
216	0.417138913
217	0.415568599
218	0.4137169133
219	0.4105358788
220	0.4095417659
221	0.4073959735
222	0.405364174
223	0.4035245701
224	0.4017055193
225	0.3981629651
226	0.3961497688
227	0.3935296541
228	0.3916728595
229	0.3896767578
230	0.3875566427
231	0.3853303258
232	0.3838858294
233	0.3826859947
234	0.3810608187
235	0.3797467838
236	0.3773155671
237	0.3759122292
238	0.3735326582
239	0.3716562334
240	0.3710636122
241	0.3692071208
242	0.366663663
243	0.3648925615
244	0.3632280666
245	0.3614064746
246	0.3599769112
247	0.3591242454
248	0.3581636672
249	0.3564374388
250	0.3546287994
251	0.3526827855
252	0.3518561751
253	0.3511184578
254	0.349691069
255	0.3472055977
256	0.3453692668
257	0.3437900415
258	0.3430323909
259	0.3408845195
260	0.3392698458
261	0.3381389663
262	0.336431216
263	0.3346459383
264	0.3322740346
265	0.3307349669
266	0.3300442003
267	0.3281790373
268	0.3270381425
269	0.3254155896
270	0.3238413638
271	0.3226732545
272	0.3217412164
273	0.3209696051
274	0.3191129204
275	0.3183034042
276	0.3162665257
277	0.3144984154
278	0.3132856698
279	0.3117469329
280	0.3103426783
281	0.3087027439
282	0.3075163541
283	0.3066717169
284	0.3054278847
285	0.3037145175
286	0.3028196583
287	0.3018819086
288	0.3013689925
289	0.2999720388
290	0.2989000988
291	0.2983074775
292	0.2965217988
293	0.2945046232
294	0.2940474557
295	0.2930383018
296	0.2917681308
297	0.2902873207
298	0.2891986067
299	0.2878187762
