iter	Passed	Remaining
0	171	85662
1	245	61148
2	272	45176
3	339	42109
4	403	39992
5	457	37663
6	468	33013
7	537	33053
8	589	32167
9	709	34758
10	788	35035
11	823	33497
12	858	32145
13	886	30761
14	973	31460
15	1016	30745
16	1121	31854
17	1220	32687
18	1247	31576
19	1259	30235
20	1300	29670
21	1374	29865
22	1452	30129
23	1530	30363
24	1668	31694
25	1685	30732
26	1806	31648
27	1878	31664
28	1978	32125
29	2076	32539
30	2154	32594
31	2229	32602
32	2296	32496
33	2324	31865
34	2402	31923
35	2486	32042
36	2531	31676
37	2628	31951
38	2706	31994
39	2800	32200
40	2864	32067
41	2943	32092
42	3041	32321
43	3081	31938
44	3160	31960
45	3218	31761
46	3291	31726
47	3356	31606
48	3458	31833
49	3539	31853
50	3623	31902
51	3706	31933
52	3766	31768
53	3847	31780
54	3926	31767
55	3956	31371
56	4052	31498
57	4142	31565
58	4214	31502
59	4308	31595
60	4381	31534
61	4478	31635
62	4541	31503
63	4636	31584
64	4717	31568
65	4802	31579
66	4886	31577
67	4966	31548
68	5046	31523
69	5136	31550
70	5211	31486
71	5294	31473
72	5362	31369
73	5432	31270
74	5512	31236
75	5589	31183
76	5664	31117
77	5730	31001
78	5817	31000
79	5895	30953
80	5988	30978
81	6078	30987
82	6161	30954
83	6243	30921
84	6310	30811
85	6378	30706
86	6459	30665
87	6543	30636
88	6612	30535
89	6673	30403
90	6740	30293
91	6810	30201
92	6889	30152
93	6982	30159
94	7047	30045
95	7118	29958
96	7192	29882
97	7266	29807
98	7333	29703
99	7403	29615
100	7489	29586
101	7577	29568
102	7681	29605
103	7765	29569
104	7854	29548
105	7937	29502
106	8042	29537
107	8107	29425
108	8196	29403
109	8268	29315
110	8352	29271
111	8435	29221
112	8509	29144
113	8622	29194
114	8684	29074
115	8748	28960
116	8842	28946
117	8919	28874
118	8998	28811
119	9070	28723
120	9143	28640
121	9266	28709
122	9330	28597
123	9400	28505
124	9483	28450
125	9567	28400
126	9641	28318
127	9714	28232
128	9770	28100
129	9853	28043
130	9915	27931
131	10000	27879
132	10062	27766
133	10131	27671
134	10226	27649
135	10305	27582
136	10382	27510
137	10441	27390
138	10549	27397
139	10656	27401
140	10733	27327
141	10841	27332
142	10931	27290
143	11029	27268
144	11103	27184
145	11202	27162
146	11331	27211
147	11413	27145
148	11504	27101
149	11572	27002
150	11637	26896
151	11743	26885
152	11799	26761
153	11875	26681
154	11977	26660
155	12051	26574
156	12139	26522
157	12218	26446
158	12286	26350
159	12361	26268
160	12453	26221
161	12531	26145
162	12626	26105
163	12714	26048
164	12805	25999
165	12906	25968
166	12976	25874
167	13077	25843
168	13149	25755
169	13249	25720
170	13328	25643
171	13412	25577
172	13486	25491
173	13556	25399
174	13673	25392
175	13744	25302
176	13810	25202
177	13882	25112
178	13950	25016
179	14059	24994
180	14155	24947
181	14222	24850
182	14311	24790
183	14374	24686
184	14466	24632
185	14547	24558
186	14639	24503
187	14745	24471
188	14808	24368
189	14906	24320
190	14999	24266
191	15062	24163
192	15150	24099
193	15219	24005
194	15299	23930
195	15388	23868
196	15472	23797
197	15539	23701
198	15664	23692
199	15747	23620
200	15818	23531
201	15906	23466
202	15989	23394
203	16071	23319
204	16170	23270
205	16245	23184
206	16361	23159
207	16443	23083
208	16517	22998
209	16595	22918
210	16667	22829
211	16738	22738
212	16799	22635
213	16877	22555
214	16956	22477
215	17024	22383
216	17112	22317
217	17210	22263
218	17280	22172
219	17369	22106
220	17435	22010
221	17497	21911
222	17564	21817
223	17635	21729
224	17713	21649
225	17775	21551
226	17868	21489
227	17954	21418
228	18067	21380
229	18148	21304
230	18221	21219
231	18307	21148
232	18375	21057
233	18466	20991
234	18542	20909
235	18637	20849
236	18709	20762
237	18776	20669
238	18869	20606
239	18948	20527
240	19027	20448
241	19105	20369
242	19184	20290
243	19277	20225
244	19370	20160
245	19440	20072
246	19529	20004
247	19613	19929
248	19704	19862
249	19774	19774
250	19855	19697
251	19950	19633
252	20024	19549
253	20090	19457
254	20160	19369
255	20239	19290
256	20302	19196
257	20382	19118
258	20484	19060
259	20555	18973
260	20645	18904
261	20740	18840
262	20847	18786
